time,bid,ask,last,volume,time_msc,flags,volume_real,difbidask,thedate
1661973560,0.59825,0.59829,0.0,0,1661973560352,6,0.0,0.040000000000040004,2022-09-01 02:19:20
1661973561,0.59824,0.59828,0.0,0,1661973561190,6,0.0,0.040000000000040004,2022-09-01 02:19:21
1661973564,0.59826,0.5983,0.0,0,1661973564774,6,0.0,0.040000000000040004,2022-09-01 02:19:24
1661973564,0.59826,0.5983,0.0,0,1661973564774,6,0.0,0.040000000000040004,2022-09-01 02:19:24
1661973568,0.59827,0.5983,0.0,0,1661973568602,2,0.0,0.030000000000085514,2022-09-01 02:19:28
1661973570,0.59826,0.5983,0.0,0,1661973570256,6,0.0,0.040000000000040004,2022-09-01 02:19:30
1661973573,0.59825,0.59829,0.0,0,1661973573003,6,0.0,0.040000000000040004,2022-09-01 02:19:33
1661973574,0.59825,0.5983,0.0,0,1661973574607,2,0.0,0.050000000000105516,2022-09-01 02:19:34
1661973576,0.59824,0.59829,0.0,0,1661973576031,6,0.0,0.04999999999999449,2022-09-01 02:19:36
1661973579,0.59828,0.59833,0.0,0,1661973579224,6,0.0,0.04999999999999449,2022-09-01 02:19:39
1661973579,0.59828,0.59831,0.0,0,1661973579460,4,0.0,0.02999999999997449,2022-09-01 02:19:39
1661973582,0.59828,0.59832,0.0,0,1661973582344,4,0.0,0.03999999999992898,2022-09-01 02:19:42
1661973582,0.59828,0.59832,0.0,0,1661973582344,4,0.0,0.03999999999992898,2022-09-01 02:19:42
1661973587,0.59828,0.59833,0.0,0,1661973587135,4,0.0,0.04999999999999449,2022-09-01 02:19:47
1661973589,0.59832,0.59837,0.0,0,1661973589176,6,0.0,0.04999999999999449,2022-09-01 02:19:49
1661973591,0.59833,0.59839,0.0,0,1661973591250,4,0.0,0.05999999999994898,2022-09-01 02:19:51
1661973592,0.59831,0.59837,0.0,0,1661973592054,6,0.0,0.05999999999994898,2022-09-01 02:19:52
1661973594,0.59832,0.59838,0.0,0,1661973594469,4,0.0,0.060000000000060005,2022-09-01 02:19:54
1661973596,0.59834,0.59839,0.0,0,1661973596737,4,0.0,0.04999999999999449,2022-09-01 02:19:56
1661973598,0.59832,0.59837,0.0,0,1661973598328,6,0.0,0.04999999999999449,2022-09-01 02:19:58
1661973600,0.59829,0.59834,0.0,0,1661973600601,6,0.0,0.04999999999999449,2022-09-01 02:20:00
1661973602,0.59827,0.59833,0.0,0,1661973602921,6,0.0,0.060000000000060005,2022-09-01 02:20:02
1661973605,0.59829,0.59834,0.0,0,1661973605063,2,0.0,0.04999999999999449,2022-09-01 02:20:05
1661973606,0.59829,0.59835,0.0,0,1661973606648,6,0.0,0.060000000000060005,2022-09-01 02:20:06
1661973608,0.59828,0.59834,0.0,0,1661973608714,6,0.0,0.05999999999994898,2022-09-01 02:20:08
1661973611,0.59826,0.59832,0.0,0,1661973611147,6,0.0,0.05999999999994898,2022-09-01 02:20:11
1661973613,0.59827,0.59833,0.0,0,1661973613417,6,0.0,0.060000000000060005,2022-09-01 02:20:13
1661973613,0.59829,0.59832,0.0,0,1661973613659,6,0.0,0.02999999999997449,2022-09-01 02:20:13
1661973616,0.59828,0.59832,0.0,0,1661973616146,2,0.0,0.03999999999992898,2022-09-01 02:20:16
1661973619,0.59827,0.59831,0.0,0,1661973619407,6,0.0,0.040000000000040004,2022-09-01 02:20:19
1661973621,0.59826,0.59831,0.0,0,1661973621139,6,0.0,0.04999999999999449,2022-09-01 02:20:21
1661973622,0.59827,0.59828,0.0,0,1661973622215,4,0.0,0.010000000000065512,2022-09-01 02:20:22
1661973625,0.59826,0.59827,0.0,0,1661973625469,6,0.0,0.00999999999995449,2022-09-01 02:20:25
1661973625,0.59827,0.59828,0.0,0,1661973625706,6,0.0,0.010000000000065512,2022-09-01 02:20:25
1661973625,0.59827,0.59828,0.0,0,1661973625706,6,0.0,0.010000000000065512,2022-09-01 02:20:25
1661973631,0.59828,0.59829,0.0,0,1661973631409,6,0.0,0.00999999999995449,2022-09-01 02:20:31
1661973633,0.59828,0.59831,0.0,0,1661973633350,6,0.0,0.02999999999997449,2022-09-01 02:20:33
1661973635,0.59832,0.59836,0.0,0,1661973635343,4,0.0,0.040000000000040004,2022-09-01 02:20:35
1661973635,0.59833,0.59836,0.0,0,1661973635996,2,0.0,0.02999999999997449,2022-09-01 02:20:35
1661973639,0.59834,0.59836,0.0,0,1661973639122,6,0.0,0.020000000000020002,2022-09-01 02:20:39
1661973640,0.59839,0.59841,0.0,0,1661973640779,6,0.0,0.020000000000020002,2022-09-01 02:20:40
1661973643,0.59837,0.59839,0.0,0,1661973643481,2,0.0,0.020000000000020002,2022-09-01 02:20:43
1661973645,0.59837,0.5984,0.0,0,1661973645161,4,0.0,0.030000000000085514,2022-09-01 02:20:45
1661973647,0.59836,0.59839,0.0,0,1661973647392,4,0.0,0.02999999999997449,2022-09-01 02:20:47
1661973648,0.59836,0.5984,0.0,0,1661973648491,4,0.0,0.040000000000040004,2022-09-01 02:20:48
1661973651,0.59837,0.59841,0.0,0,1661973651294,4,0.0,0.040000000000040004,2022-09-01 02:20:51
1661973653,0.59835,0.59839,0.0,0,1661973653564,4,0.0,0.03999999999992898,2022-09-01 02:20:53
1661973654,0.59835,0.59839,0.0,0,1661973654930,2,0.0,0.03999999999992898,2022-09-01 02:20:54
1661973656,0.59836,0.5984,0.0,0,1661973656972,4,0.0,0.040000000000040004,2022-09-01 02:20:56
1661973656,0.59836,0.5984,0.0,0,1661973656972,4,0.0,0.040000000000040004,2022-09-01 02:20:56
1661973660,0.59835,0.59838,0.0,0,1661973660758,4,0.0,0.02999999999997449,2022-09-01 02:21:00
1661973660,0.59835,0.59838,0.0,0,1661973660758,4,0.0,0.02999999999997449,2022-09-01 02:21:00
1661973665,0.59834,0.59837,0.0,0,1661973665374,2,0.0,0.02999999999997449,2022-09-01 02:21:05
1661973665,0.59834,0.59837,0.0,0,1661973665374,2,0.0,0.02999999999997449,2022-09-01 02:21:05
1661973665,0.59834,0.59837,0.0,0,1661973665374,2,0.0,0.02999999999997449,2022-09-01 02:21:05
1661973671,0.59835,0.59838,0.0,0,1661973671632,2,0.0,0.02999999999997449,2022-09-01 02:21:11
1661973672,0.59834,0.59838,0.0,0,1661973672353,6,0.0,0.040000000000040004,2022-09-01 02:21:12
1661973675,0.59836,0.59838,0.0,0,1661973675705,6,0.0,0.020000000000020002,2022-09-01 02:21:15
1661973677,0.59832,0.59835,0.0,0,1661973677156,6,0.0,0.030000000000085514,2022-09-01 02:21:17
