Ticker,Category
MLM.NYSE,Construction Materials
MAS.NYSE,Homebuilding & Construction Supplies
MKC.NYSE,Food & Tobacco
MCK.NYSE,Food & Drug Retailing
MDT.NYSE,Healthcare Equipment & Supplies
MET.NYSE,Insurance
MTD.NYSE,Office Equipment
MCHP.NAS,Semiconductors & Semiconductor Equipment
MAA.NYSE,Residential & Commercial REIT
MHK.NYSE,Household Goods
TAP.NYSE,Beverages
MNST.NAS,Beverages
MCO.NYSE,Professional & Commercial Services
MOS.NYSE,Chemicals
MSI.NYSE,Communications & Networking
MSCI.NYSE,Professional & Commercial Services
NDAQ.NAS,Investment Banking & Investment Services
NTAP.NAS,"Computers, Phones & Household Electronics"
NWL.NAS,Household Goods
NEM.NYSE,Software & IT Services
NWSA.NAS,Media & Publishing
NWS.NAS,Construction & Engineering
NLSN.NYSE,Media & Publishing
NSC.NYSE,Freight & Logistics Services
NTRS.NAS,Investment Banking & Investment Services
NOC.NYSE,Aerospace & Defense
NLOK.NAS,Software & IT Services
NCLH.NYSE,Hotels & Entertainment Services
NOV.NYSE,Oil & Gas Related Equipment and Services
NRG.NYSE,Electrical Utilities & IPPs
NUE.NYSE,Metals & Mining
NVR.NYSE,Homebuilding & Construction Supplies
ORLY.NAS,Specialty Retailers
OXY.NYSE,Oil & Gas
OMC.NYSE,Media & Publishing
OKE.NYSE,Oil & Gas Related Equipment and Services
OTIS.NYSE,"Machinery, Equipment & Components"
PCAR.NAS,"Machinery, Equipment & Components"
PKG.NYSE,Containers & Packaging
PAYX.NAS,Professional & Commercial Services
PAYC.NYSE,Software & IT Services
PNR.NYSE,"Machinery, Equipment & Components"
PKI.NYSE,Healthcare Equipment & Supplies
PRGO.NYSE,Pharmaceuticals
PSX.NYSE,Oil & Gas
PNW.NYSE,Electrical Utilities & IPPs
PXD.NYSE,Oil & Gas
PNC.NYSE,Banking Services
PPG.NYSE,Chemicals
PPL.NYSE,Multiline Utilities
PFG.NAS,Insurance
PGR.NYSE,Insurance
PLD.NYSE,Residential & Commercial REIT
PRU.NYSE,Insurance
PEG.NYSE,Multiline Utilities
PHM.NYSE,Homebuilding & Construction Supplies
PVH.NYSE,Textiles & Apparel
PWR.NYSE,Construction & Engineering
DGX.NYSE,Healthcare Providers & Services
RJF.NYSE,Investment Banking & Investment Services
RYN.NYSE,Residential & Commercial REIT
REG.NAS,Residential & Commercial REIT
RF.NYSE,Banking Services
RSG.NYSE,Professional & Commercial Services
RMD.NYSE,Healthcare Equipment & Supplies
RHI.NYSE,Professional & Commercial Services
ROK.NYSE,"Machinery, Equipment & Components"
ROL.NYSE,Professional & Commercial Services
ROP.NYSE,Software & IT Services
ROST.NAS,Specialty Retailers
RCL.NYSE,Hotels & Entertainment Services
SPGI.NYSE,Professional & Commercial Services
CRM.NYSE,Software & IT Services
STX.NAS,Oil & Gas
SEE.NYSE,Containers & Packaging
SRE.NYSE,Multiline Utilities
SHW.NYSE,Chemicals
SPG.NYSE,Residential & Commercial REIT
SLG.NYSE,Residential & Commercial REIT
SNA.NYSE,"Machinery, Equipment & Components"
LUV.NYSE,Passenger Transportation Services
SWK.NYSE,"Machinery, Equipment & Components"
STT.NYSE,Investment Banking & Investment Services
SYK.NYSE,Healthcare Equipment & Supplies
SYF.NYSE,Banking Services
SYY.NYSE,Food & Drug Retailing
TROW.NAS,Investment Banking & Investment Services
TPR.NYSE,Specialty Retailers
TGT.NYSE,Diversified Retail
TEL.NYSE,"Machinery, Equipment & Components"
FTI.NYSE,Oil & Gas Related Equipment and Services
TDY.NYSE,Electronic Equipment & Parts
TFX.NYSE,Healthcare Equipment & Supplies
TXT.NYSE,Aerospace & Defense
TJX.NYSE,Diversified Retail
TDG.NYSE,Aerospace & Defense
TRV.NYSE,Insurance
TFC.NYSE,Banking Services
TWTR.NYSE,Software & IT Services
TYL.NYSE,Software & IT Services
TSN.NYSE,Food & Tobacco
UDR.NYSE,Residential & Commercial REIT
ULTA.NAS,Specialty Retailers
UAA.NYSE,Textiles & Apparel
UAL.NAS,Passenger Transportation Services
URI.NYSE,Professional & Commercial Services
UHS.NYSE,Healthcare Providers & Services
UNM.NYSE,Insurance
VLO.NYSE,Oil & Gas
VTR.NYSE,Residential & Commercial REIT
VRSN.NAS,Software & IT Services
VFC.NYSE,Textiles & Apparel
VTRS.NAS,Pharmaceuticals
VNO.NYSE,Residential & Commercial REIT
VMC.NYSE,Construction Materials
WRB.NYSE,Insurance
WAB.NYSE,"Machinery, Equipment & Components"
WM.NYSE,Professional & Commercial Services
WAT.NYSE,Healthcare Equipment & Supplies
WEC.NYSE,Electrical Utilities & IPPs
WELL.NYSE,Residential & Commercial REIT
WST.NYSE,Healthcare Equipment & Supplies
